Column1,userid,courseid,created_enr,username,date_joined,year_of_birth,level_of_education,course_name,create_time_course,length,category
1807,30,TsinghuaX/80000901_1X/_,10/8/2013 11:57,Blackmao,8/26/2013 08:01,1987,m,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1809,1998,TsinghuaX/80000901_1X/_,10/8/2013 13:02,Rodney,10/8/2013 12:58,1979,m,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1811,5,TsinghuaX/MOOC101/MOOCs_,10/8/2013 13:54,cmouse,8/22/2013 05:48,1985,p,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1812,1949,TsinghuaX/80000901_1X/_,10/8/2013 13:58,LeiZhang,10/6/2013 08:49,1992,b,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1821,613,TsinghuaX/MOOC101/MOOCs_,10/9/2013 00:38,Junhui,9/11/2013 08:13,197,p,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1822,613,TsinghuaX/80000901_1X/_,10/9/2013 00:39,Junhui,9/11/2013 08:13,197,p,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1823,2010,TsinghuaX/80000901_1X/_,10/9/2013 01:08,qinxian,10/9/2013 01:07,1965,p,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1826,714,TsinghuaX/80000901_1X/_,10/9/2013 02:06,yuxinjie,9/12/2013 00:08,1973,p,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1827,714,TsinghuaX/MOOC101/MOOCs_,10/9/2013 02:09,yuxinjie,9/12/2013 00:08,1973,p,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1836,2025,TsinghuaX/30240184_1X/_,10/9/2013 05:15,laglace,10/9/2013 05:15,1987,b,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1840,30,TsinghuaX/MOOC101/MOOCs_,10/9/2013 05:39,Blackmao,8/26/2013 08:01,1987,m,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1841,30,MITx/6_002x/_Circuits_and_Electronics_,10/9/2013 05:40,Blackmao,8/26/2013 08:01,1987,m,Circuits and Electronics (Circuits and Electronics,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1843,613,TsinghuaX/30240184_1X/_,10/9/2013 05:47,Junhui,9/11/2013 08:13,197,p,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1844,2028,TsinghuaX/00690242_1X/_,10/9/2013 06:00,HuoJie,10/9/2013 06:00,1994,b,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1845,2028,TsinghuaX/MOOC101/MOOCs_,10/9/2013 06:01,HuoJie,10/9/2013 06:00,1994,b,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1846,2028,TsinghuaX/80000901_1X/_,10/9/2013 06:02,HuoJie,10/9/2013 06:00,1994,b,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1848,5,TsinghuaX/20220332_1X/_,10/9/2013 06:27,cmouse,8/22/2013 05:48,1985,p,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1849,2030,TsinghuaX/20220332_1X/_,10/9/2013 06:40,ZhangZikun,10/9/2013 06:40,1994,hs,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1861,2032,TsinghuaX/80512073X/_,10/9/2013 07:19,xiaoquan,10/9/2013 07:17,199,m,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1862,2032,TsinghuaX/80000901_1X/_,10/9/2013 07:21,xiaoquan,10/9/2013 07:17,199,m,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1863,1786,TsinghuaX/MOOC101/MOOCs_,10/9/2013 07:32,yujianbo,9/27/2013 03:58,198,m,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1864,1786,TsinghuaX/80512073X/_,10/9/2013 07:37,yujianbo,9/27/2013 03:58,198,m,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1865,1786,TsinghuaX/30240184_1X/_,10/9/2013 07:42,yujianbo,9/27/2013 03:58,198,m,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1866,1786,TsinghuaX/00690242_1X/_,10/9/2013 07:43,yujianbo,9/27/2013 03:58,198,m,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1867,1786,TsinghuaX/20220332_1X/_,10/9/2013 07:49,yujianbo,9/27/2013 03:58,198,m,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1869,714,TsinghuaX/20220332_1X/_,10/9/2013 08:49,yuxinjie,9/12/2013 00:08,1973,p,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1870,1926,TsinghuaX/00690242_1X/_,10/9/2013 09:00,Icebear,10/5/2013 02:24,1988,b,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1872,538,MITx/6_002x/_Circuits_and_Electronics_,10/9/2013 10:00,Liuyd,9/11/2013 03:52,1989,b,Circuits and Electronics (Circuits and Electronics,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1873,2038,TsinghuaX/80000901_1X/_,10/9/2013 10:00,xyz,10/9/2013 09:59,1991,b,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1874,2038,TsinghuaX/20220332_1X/_,10/9/2013 10:01,xyz,10/9/2013 09:59,1991,b,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1875,538,TsinghuaX/00690242_1X/_,10/9/2013 10:02,Liuyd,9/11/2013 03:52,1989,b,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1876,538,PekingX/01718330X/_,10/9/2013 10:03,Liuyd,9/11/2013 03:52,1989,b,Principles and Practice of Computer Aided Translation,4/22/2014 02:12,#VALEUR!,computer
1879,2039,TsinghuaX/20220332_1X/_,10/9/2013 10:12,ChrisTHU,10/9/2013 10:11,1992,b,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1881,2031,PekingX/01718330X/_,10/9/2013 10:18,Chenzesong,10/9/2013 06:43,1988,m,Principles and Practice of Computer Aided Translation,4/22/2014 02:12,#VALEUR!,computer
1883,2036,TsinghuaX/30240184_1X/_,10/9/2013 10:20,LiRuizhe,10/9/2013 09:57,1985,b,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1884,2017,PekingX/01718330X/_,10/9/2013 10:23,phonbe,10/9/2013 04:22,1986,b,Principles and Practice of Computer Aided Translation,4/22/2014 02:12,#VALEUR!,computer
1885,2017,TsinghuaX/30240184_1X/_,10/9/2013 10:23,phonbe,10/9/2013 04:22,1986,b,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1886,2017,TsinghuaX/80512073X/_,10/9/2013 10:24,phonbe,10/9/2013 04:22,1986,b,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1887,613,TsinghuaX/80512073X/_,10/9/2013 10:24,Junhui,9/11/2013 08:13,197,p,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1888,613,TsinghuaX/20220332_1X/_,10/9/2013 10:25,Junhui,9/11/2013 08:13,197,p,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1889,2040,TsinghuaX/20220332_1X/_,10/9/2013 10:29,XuYiduo,10/9/2013 10:27,1993,hs,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1890,2041,TsinghuaX/20220332_1X/_,10/9/2013 10:36,believefly,10/9/2013 10:35,1988,p,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1895,613,TsinghuaX/00690242_1X/_,10/9/2013 11:02,Junhui,9/11/2013 08:13,197,p,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1896,2048,TsinghuaX/00690242_1X/_,10/9/2013 11:10,LiangShuai,10/9/2013 11:08,1992,b,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1897,2048,TsinghuaX/80000901_1X/_,10/9/2013 11:11,LiangShuai,10/9/2013 11:08,1992,b,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1898,2049,TsinghuaX/MOOC101/MOOCs_,10/9/2013 11:12,hujinming77,10/9/2013 11:11,199,m,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1899,2051,TsinghuaX/20220332_1X/_,10/9/2013 11:13,yangp11,10/9/2013 11:13,1993,hs,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1902,35,TsinghuaX/30240184_1X/_,10/9/2013 11:16,yangky11,8/27/2013 07:12,1993,b,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1903,1058,TsinghuaX/30240184_1X/_,10/9/2013 11:55,Ariana,9/14/2013 09:50,1996,hs,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1904,453,TsinghuaX/30240184_1X/_,10/9/2013 11:57,berry,9/11/2013 01:35,1992,b,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1911,2054,MITx/6_002x/_Circuits_and_Electronics_,10/9/2013 12:53,lin16222,10/9/2013 12:52,1991,hs,Circuits and Electronics (Circuits and Electronics,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1913,2054,TsinghuaX/20220332_1X/_,10/9/2013 12:56,lin16222,10/9/2013 12:52,1991,hs,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1914,2031,TsinghuaX/80000901_1X/_,10/9/2013 13:22,Chenzesong,10/9/2013 06:43,1988,m,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1915,2031,TsinghuaX/00690242_1X/_,10/9/2013 13:22,Chenzesong,10/9/2013 06:43,1988,m,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1916,1997,PekingX/01718330X/_,10/9/2013 13:28,HanLintao,10/8/2013 11:57,1988,m,Principles and Practice of Computer Aided Translation,4/22/2014 02:12,#VALEUR!,computer
1917,1654,TsinghuaX/30240184_1X/_,10/9/2013 14:07,David_Zhou,9/21/2013 04:40,1994,hs,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1918,1654,TsinghuaX/20220332_1X/_,10/9/2013 14:09,David_Zhou,9/21/2013 04:40,1994,hs,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1919,1654,MITx/6_002x/_Circuits_and_Electronics_,10/9/2013 14:09,David_Zhou,9/21/2013 04:40,1994,hs,Circuits and Electronics (Circuits and Electronics,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1921,949,TsinghuaX/80000901_1X/_,10/9/2013 14:32,linyuming9,9/13/2013 12:35,1994,hs,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1923,833,TsinghuaX/MOOC101/MOOCs_,10/9/2013 16:28,jiayz,9/12/2013 08:55,199,p,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1924,7,TsinghuaX/MOOC101/MOOCs_,10/9/2013 16:35,mlj,8/22/2013 06:36,1991,b,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1925,7,TsinghuaX/00690242_1X/_,10/9/2013 16:36,mlj,8/22/2013 06:36,1991,b,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1926,7,TsinghuaX/20220332_1X/_,10/9/2013 16:38,mlj,8/22/2013 06:36,1991,b,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1927,7,TsinghuaX/80000901_1X/_,10/9/2013 16:38,mlj,8/22/2013 06:36,1991,b,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1928,7,TsinghuaX/80512073X/_,10/9/2013 16:38,mlj,8/22/2013 06:36,1991,b,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1929,410,TsinghuaX/80512073X/_,10/9/2013 23:55,youngcow,9/10/2013 23:40,198,m,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1930,410,TsinghuaX/20220332_1X/_,10/9/2013 23:57,youngcow,9/10/2013 23:40,198,m,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1933,32,TsinghuaX/MOOC101/MOOCs_,10/10/2013 00:41,ZhangLei,8/26/2013 16:10,1992,hs,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1936,2061,TsinghuaX/30240184_1X/_,10/10/2013 01:36,RainInSummer,10/10/2013 01:36,1991,b,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1937,2061,TsinghuaX/80512073X/_,10/10/2013 01:38,RainInSummer,10/10/2013 01:36,1991,b,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1938,1991,TsinghuaX/00690242_1X/_,10/10/2013 01:41,zhangxh,10/8/2013 07:34,1978,a,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1939,714,TsinghuaX/30240184_1X/_,10/10/2013 01:52,yuxinjie,9/12/2013 00:08,1973,p,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
1940,797,TsinghuaX/MOOC101/MOOCs_,10/10/2013 02:40,LiuzhenTHU,9/12/2013 06:24,1976,p,MOOCs Production and Operations,4/22/2014 02:12,#VALEUR!,Information spreading computer
1941,2065,TsinghuaX/00690242_1X/_,10/10/2013 02:57,Milly,10/10/2013 02:57,1989,p,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1942,2068,TsinghuaX/00690242_1X/_,10/10/2013 03:13,Khan,10/10/2013 03:13,1987,p,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1943,2067,PekingX/01718330X/_,10/10/2013 03:16,nawen817,10/10/2013 03:11,1985,m,Principles and Practice of Computer Aided Translation,4/22/2014 02:12,#VALEUR!,computer
1944,112,TsinghuaX/80000901_1X/_,10/10/2013 03:20,aquaticfox,9/9/2013 00:32,1981,m,China Architectural History (on,4/22/2014 02:12,#VALEUR!,Literature and history
1945,112,TsinghuaX/00690242_1X/_,10/10/2013 03:20,aquaticfox,9/9/2013 00:32,1981,m,Chinese antiques and Culture (on,4/22/2014 02:12,#VALEUR!,Literature and history
1946,112,TsinghuaX/80512073X/_,10/10/2013 03:20,aquaticfox,9/9/2013 00:32,1981,m,Financial Analysis and Decision,4/22/2014 02:12,#VALEUR!,Economics and Management
1947,112,TsinghuaX/20220332_1X/_,10/10/2013 03:20,aquaticfox,9/9/2013 00:32,1981,m,Circuit principle (a,4/22/2014 02:12,#VALEUR!,Electrical and Electronic Engineering
1948,112,TsinghuaX/30240184_1X/_,10/10/2013 03:21,aquaticfox,9/9/2013 00:32,1981,m,Data structure (I,4/22/2014 02:12,#VALEUR!,computer
